place,beer,usr,date,rating,style,s_name
2930,67516,285188,2011-12-27,2.5,37,Cains Finest Export Lager
2930,67516,224763,2011-11-25,3.0,37,Cains Finest Export Lager
2930,67516,90923,2011-08-09,3.33,37,Cains Finest Export Lager
2930,67516,522501,2011-07-20,2.56,37,Cains Finest Export Lager
2449,9271,84,2006-04-26,3.72,165,Ripon Jewel Ale
2449,9271,2159,2006-03-31,3.53,165,Ripon Jewel Ale
2449,9271,9254,2006-03-19,3.23,165,Ripon Jewel Ale
2449,9271,263,2006-03-05,3.71,165,Ripon Jewel Ale
2449,9271,1288,2006-03-01,3.85,165,Ripon Jewel Ale
2449,9271,5710,2005-11-27,3.21,165,Ripon Jewel Ale
2449,9271,4217,2005-11-12,3.98,165,Ripon Jewel Ale
2449,9271,8158,2005-10-02,3.46,165,Ripon Jewel Ale
2449,9271,3241,2005-08-02,4.13,165,Ripon Jewel Ale
2449,9271,526,2005-06-23,4.28,165,Ripon Jewel Ale
2449,9271,269,2005-04-04,3.76,165,Ripon Jewel Ale
2449,9271,3331,2005-03-23,3.88,165,Ripon Jewel Ale
2449,9271,256,2005-02-17,3.6,165,Ripon Jewel Ale
2449,9271,264,2003-04-01,2.48,165,Ripon Jewel Ale
2449,9271,961247,2015-10-02,4.13,165,Ripon Jewel Ale
2449,9271,802660,2014-06-06,3.5,165,Ripon Jewel Ale
2449,9271,657696,2014-05-14,3.5,165,Ripon Jewel Ale
2449,9271,102045,2013-05-25,3.5,165,Ripon Jewel Ale
2449,9271,106034,2013-05-22,3.0,165,Ripon Jewel Ale
2449,9271,107917,2012-11-07,3.26,165,Ripon Jewel Ale
2449,9271,305966,2012-10-14,3.45,165,Ripon Jewel Ale
2449,9271,664375,2012-05-03,4.0,165,Ripon Jewel Ale
2449,9271,601693,2011-09-27,3.55,165,Ripon Jewel Ale
2449,9271,90923,2010-07-09,3.98,165,Ripon Jewel Ale
2449,9271,391342,2010-04-08,3.77,165,Ripon Jewel Ale
2449,9271,8942,2009-11-27,4.05,165,Ripon Jewel Ale
2449,9271,247470,2009-06-27,3.31,165,Ripon Jewel Ale
2449,9271,249042,2009-04-10,3.07,165,Ripon Jewel Ale
2449,9271,15527,2009-02-13,3.97,165,Ripon Jewel Ale
2449,9271,71498,2008-11-30,3.94,165,Ripon Jewel Ale
2449,9271,93399,2008-03-02,4.22,165,Ripon Jewel Ale
2449,9271,6284,2008-02-09,3.73,165,Ripon Jewel Ale
2449,9271,35961,2007-12-21,3.32,165,Ripon Jewel Ale
2449,9271,4460,2007-12-16,3.58,165,Ripon Jewel Ale
2449,9271,4995,2007-12-02,4.1,165,Ripon Jewel Ale
2449,9271,120746,2007-04-19,3.8,165,Ripon Jewel Ale
2449,9271,14442,2006-11-12,3.95,165,Ripon Jewel Ale
2449,9271,1022,2006-09-13,3.97,165,Ripon Jewel Ale
2449,9271,3819,2006-08-23,3.83,165,Ripon Jewel Ale
26623,77886,662226,2012-02-29,2.5,175,Magic 8 Ball
26623,77886,19527,2012-02-21,4.28,175,Magic 8 Ball
26623,77886,249879,2012-02-17,3.68,175,Magic 8 Ball
26623,77886,522501,2012-01-29,4.07,175,Magic 8 Ball
26623,77886,454782,2016-04-10,4.0,175,Magic 8 Ball
26623,77886,859105,2016-04-05,3.48,175,Magic 8 Ball
26623,77886,532838,2016-01-19,3.91,175,Magic 8 Ball
26623,77886,811781,2016-01-09,4.21,175,Magic 8 Ball
26623,77886,708068,2014-12-22,3.2,175,Magic 8 Ball
26623,77886,276274,2014-11-15,4.0,175,Magic 8 Ball
26623,77886,656072,2014-09-27,4.0,175,Magic 8 Ball
26623,77886,654941,2014-07-20,4.0,175,Magic 8 Ball
26623,77886,722439,2014-07-13,3.75,175,Magic 8 Ball
26623,77886,688796,2014-06-24,4.0,175,Magic 8 Ball
26623,77886,797474,2014-05-01,4.0,175,Magic 8 Ball
26623,77886,573230,2014-03-09,3.85,175,Magic 8 Ball
26623,77886,772844,2014-02-19,3.5,175,Magic 8 Ball
26623,77886,748193,2014-01-12,3.75,175,Magic 8 Ball
26623,77886,621888,2013-11-01,3.99,175,Magic 8 Ball
26623,77886,19405,2013-06-22,4.25,175,Magic 8 Ball
26623,77886,681465,2013-05-23,3.87,175,Magic 8 Ball
26623,77886,336854,2013-03-04,3.25,175,Magic 8 Ball
26623,77886,678432,2013-02-08,4.0,175,Magic 8 Ball
26623,77886,589496,2012-09-12,4.5,175,Magic 8 Ball
26623,77886,671249,2012-08-30,4.25,175,Magic 8 Ball
